product_id,brand,product_type,price_range,item_price,product_rating,average_sentiment_score,positive_review_percentage,total_reviews,cluster
P001026,Harbor,Shirt,Mid Range ($50-$200),168.25,3.89,0.42627194949558805,71.42857142857143,7,3
P000195,Willow,Jacket,Mid Range ($50-$200),72.69,3.64,0.4982074946165085,75.0,4,0
P001787,Willow,Jacket,Mid Range ($50-$200),160.19,4.45,0.1992098271846771,60.0,10,0
P000605,Zenith,T-Shirt,Mid Range ($50-$200),83.17,4.32,0.5985209465026855,80.0,10,1
P000437,GreenLeaf,Skirt,Mid Range ($50-$200),130.95,3.37,0.7129440563065665,85.71428571428571,7,1
P000870,Orion,Dress,Mid Range ($50-$200),132.71,3.32,0.5988079190254212,80.0,10,3
P001326,GreenLeaf,Skirt,Mid Range ($50-$200),61.39,4.0,0.3328893846935696,66.66666666666666,9,1
P000848,Astra,Shorts,Mid Range ($50-$200),97.68,2.66,0.6663010716438293,83.33333333333334,6,2
P001810,NeoTech,Shorts,Mid Range ($50-$200),61.15,3.48,0.8169133717363531,90.9090909090909,11,1
P000110,Zenith,T-Shirt,Mid Range ($50-$200),154.67,2.5,0.6649871269861857,83.33333333333334,6,1
P001997,Zenith,T-Shirt,Mid Range ($50-$200),106.67,2.66,0.6651843190193176,83.33333333333334,6,1
P000726,NeoTech,Shirt,Mid Range ($50-$200),109.92,3.27,0.9983798444271088,100.0,10,3
P001619,Everest,Jeans,Budget ($0-$50),15.52,4.2,0.6653501788775126,83.33333333333334,6,4
P001696,Astra,Shirt,Premium ($200-$500),313.72,3.15,-0.0006432235240936279,50.0,6,3
P001212,Harbor,Jeans,Budget ($0-$50),49.21,2.51,0.9990549087524414,100.0,9,4
P000729,Orion,Jacket,Budget ($0-$50),49.66,3.89,0.249820314347744,62.5,8,0
P001800,Astra,T-Shirt,Mid Range ($50-$200),113.98,4.7,0.9994130492210388,100.0,5,2
P000762,Everest,Sweater,Mid Range ($50-$200),185.46,3.87,0.6455740893588346,82.35294117647058,17,2
P001386,NeoTech,T-Shirt,Mid Range ($50-$200),181.88,2.89,0.8173051693222739,90.9090909090909,11,1
P001594,Pulse,Tracksuit,Mid Range ($50-$200),83.76,4.16,0.6659324467182159,83.33333333333334,6,1
P000722,NeoTech,Dress,Mid Range ($50-$200),104.02,4.57,0.0002106204628944397,50.0,8,3
P001287,Harbor,T-Shirt,Mid Range ($50-$200),126.29,3.7,0.19871774911880494,60.0,5,1
P001779,Orion,Sweater,Mid Range ($50-$200),57.54,4.39,0.5549576679865519,77.77777777777779,9,2
P001152,Pulse,Dress,Mid Range ($50-$200),79.18,3.69,0.5988856315612793,80.0,5,3
P001495,Acme,Dress,Premium ($200-$500),262.79,4.3,0.7134065287453788,85.71428571428571,7,3
P001420,NeoTech,T-Shirt,Mid Range ($50-$200),114.66,2.61,0.39979379773139956,70.0,10,1
P001547,Orion,Jeans,Mid Range ($50-$200),149.44,3.91,0.4539628570730036,72.72727272727273,11,4
P001265,Harbor,T-Shirt,Mid Range ($50-$200),59.96,3.91,0.3334217468897502,66.66666666666666,6,1
P001614,Solace,Sweater,Mid Range ($50-$200),97.47,2.92,0.33319275577863056,66.66666666666666,6,2
P000776,Pulse,Hoodie,Budget ($0-$50),41.51,3.81,0.7772044539451599,88.88888888888889,9,5
P001558,Everest,Shirt,Mid Range ($50-$200),142.38,2.78,0.14274026666368758,57.14285714285714,7,3
P000535,Willow,T-Shirt,Mid Range ($50-$200),62.96,4.14,0.42780416352408274,71.42857142857143,7,1
P000850,GreenLeaf,Shirt,Mid Range ($50-$200),60.83,4.88,0.712986273424966,85.71428571428571,7,3
P001820,NeoTech,Shirt,Mid Range ($50-$200),90.19,3.49,0.7485329061746597,87.5,8,3
P000838,Nimbus,Dress,Mid Range ($50-$200),57.65,2.85,0.9987787246704102,100.0,5,3
P001904,Everest,Shorts,Premium ($200-$500),215.5,4.14,0.4280105914388384,71.42857142857143,7,1
P000821,Acme,Jeans,Mid Range ($50-$200),166.22,4.44,0.8169818249615756,90.9090909090909,11,4
P000403,Orion,Dress,Mid Range ($50-$200),74.66,2.55,0.7984906792640686,90.0,10,3
P000173,Harbor,Jacket,Budget ($0-$50),30.32,4.4,0.9992113539150783,100.0,7,0
P001624,Pulse,Jeans,Mid Range ($50-$200),50.81,4.64,0.24955260008573532,62.5,8,4
P000001,Astra,T-Shirt,Mid Range ($50-$200),157.89,4.08,0.1989923357963562,60.0,5,2
P000867,GreenLeaf,T-Shirt,Mid Range ($50-$200),183.87,3.85,0.7483977973461151,87.5,8,1
P001658,Harbor,Shirt,Budget ($0-$50),20.37,3.92,0.9987499475479126,100.0,5,3
P001772,Acme,Jacket,Budget ($0-$50),20.18,4.07,0.9991442710161209,100.0,8,0
P001092,Orion,Shorts,Budget ($0-$50),20.74,3.08,0.7993685483932496,90.0,10,1
P000030,Willow,Shirt,Mid Range ($50-$200),139.45,3.93,0.7130904197692871,85.71428571428571,7,3
P001411,Astra,T-Shirt,Mid Range ($50-$200),52.89,3.58,0.6647620499134064,83.33333333333334,6,2
P000446,GreenLeaf,Shirt,Mid Range ($50-$200),68.43,3.24,0.4654032667477926,73.33333333333333,15,3
P000813,Orion,Shorts,Premium ($200-$500),205.74,2.69,0.14262108291898454,57.14285714285714,7,1
P001931,Orion,Sweater,Budget ($0-$50),40.77,3.91,0.4994504451751709,75.0,4,2
P000120,Zenith,T-Shirt,Mid Range ($50-$200),176.19,2.8,0.9985162786075047,100.0,7,1
P001593,Harbor,Shorts,Mid Range ($50-$200),181.12,4.17,0.2720668153329329,63.63636363636363,11,1
P000547,Everest,Jacket,Premium ($200-$500),207.26,3.78,0.3330531418323517,66.66666666666666,6,0
P000039,NeoTech,Sweater,Budget ($0-$50),33.41,4.75,0.4282655801091875,71.42857142857143,7,2
P000230,Astra,Shorts,Mid Range ($50-$200),174.94,2.63,0.00024216373761494955,50.0,6,2
P000095,NeoTech,Shirt,Mid Range ($50-$200),121.02,4.88,0.3835978599695059,69.23076923076923,13,3
P001908,Nimbus,Sweater,Mid Range ($50-$200),51.78,3.81,0.5999512195587158,80.0,5,2
P000686,Willow,T-Shirt,Budget ($0-$50),29.92,4.3,0.3334227502346039,66.66666666666666,6,1
P001155,Solace,Shirt,Mid Range ($50-$200),175.11,4.06,-0.000421673059463501,50.0,4,3
P001963,Orion,T-Shirt,Mid Range ($50-$200),172.17,3.84,0.9991981486479441,100.0,6,1
P000109,Everest,Shirt,Mid Range ($50-$200),188.18,4.31,0.42825915132250103,71.42857142857143,7,3
P000439,GreenLeaf,Skirt,Mid Range ($50-$200),115.37,4.45,0.5545267131593492,77.77777777777779,9,1
P000809,GreenLeaf,Shirt,Premium ($200-$500),232.34,3.92,0.19927740097045898,60.0,5,3
P000793,Willow,Jacket,Mid Range ($50-$200),168.0,3.83,0.4280170202255249,71.42857142857143,7,0
P001860,Everest,Tracksuit,Mid Range ($50-$200),86.67,3.46,0.3321594297885895,66.66666666666666,6,1
P000943,Willow,Skirt,Mid Range ($50-$200),111.58,4.18,0.7136000650269645,85.71428571428571,7,1
P001569,Everest,Jeans,Mid Range ($50-$200),51.05,4.46,0.713128387928009,85.71428571428571,7,4
P001490,Orion,Shirt,Mid Range ($50-$200),158.04,3.02,0.999583227293832,100.0,7,3
P001590,Solace,Shirt,Budget ($0-$50),11.57,2.81,0.5996415913105011,80.0,10,3
P000088,Everest,T-Shirt,Mid Range ($50-$200),78.11,4.29,0.7987837374210358,90.0,10,1
P000668,Nimbus,Hoodie,Mid Range ($50-$200),168.02,3.77,-0.00022423267364501953,50.0,4,5
P001469,Orion,Jacket,Mid Range ($50-$200),88.87,2.85,0.49953459203243256,75.0,8,0
P000402,Solace,T-Shirt,Mid Range ($50-$200),108.39,4.06,0.9992428521315256,100.0,6,1
P001171,Zenith,Shorts,Premium ($200-$500),208.75,3.46,0.5693853752953666,78.57142857142857,14,1
P001826,Solace,Shirt,Mid Range ($50-$200),117.72,4.34,0.24960605055093765,62.5,8,3
P001602,Everest,Shirt,Premium ($200-$500),260.17,3.79,0.9962853491306305,100.0,2,3
P001366,Pulse,Hoodie,Mid Range ($50-$200),95.81,4.13,0.7135892254965646,85.71428571428571,7,5
P001647,Acme,Hoodie,Mid Range ($50-$200),118.8,3.17,0.3326175371805827,66.66666666666666,15,5
P000223,Solace,Jacket,Mid Range ($50-$200),56.92,3.95,0.9998397131760915,100.0,6,0
P001374,Orion,Shirt,Mid Range ($50-$200),92.28,4.35,0.9992372989654541,100.0,6,3
P001052,NeoTech,T-Shirt,Mid Range ($50-$200),196.49,3.9,0.498974268635114,75.0,12,1
P000941,Solace,Hoodie,Budget ($0-$50),25.1,3.23,0.776692807674408,88.88888888888889,9,5
P000766,Pulse,T-Shirt,Budget ($0-$50),22.48,4.44,0.49885979294776917,75.0,8,1
P000422,Everest,T-Shirt,Premium ($200-$500),257.15,4.37,0.6901156077018151,84.61538461538461,13,1
P001910,Nimbus,Hoodie,Mid Range ($50-$200),76.19,3.13,0.9981680512428284,100.0,9,5
P001505,NeoTech,Skirt,Mid Range ($50-$200),142.27,3.54,0.6908967678363507,84.61538461538461,13,1
P000962,Everest,T-Shirt,Premium ($200-$500),274.66,4.23,0.49908754974603653,75.0,8,1
P001380,Harbor,Sweater,Mid Range ($50-$200),113.22,3.08,0.14272914613996232,57.14285714285714,7,2
P000217,Zenith,Hoodie,Mid Range ($50-$200),101.57,3.68,0.7489701583981514,87.5,8,5
P001238,Pulse,Sweater,Mid Range ($50-$200),166.04,3.79,0.6641640464464823,83.33333333333334,6,2
P000823,Harbor,Shirt,Premium ($200-$500),247.47,4.21,0.9984111666679383,100.0,5,3
P000544,Orion,Hoodie,Premium ($200-$500),248.05,4.0,0.33252737919489544,66.66666666666666,6,5
P001276,Harbor,Shorts,Budget ($0-$50),39.32,3.35,0.8175980069420554,90.9090909090909,11,1
P001591,Solace,T-Shirt,Budget ($0-$50),24.97,4.5,0.4986463934183121,75.0,8,1
P001517,GreenLeaf,Shorts,Premium ($200-$500),233.7,4.04,0.9980036105428424,100.0,7,1
P000150,Pulse,T-Shirt,Mid Range ($50-$200),70.84,2.59,0.5996001124382019,80.0,5,1
P000209,Zenith,Hoodie,Mid Range ($50-$200),144.55,3.2,0.9994924187660217,100.0,5,5
P000241,Orion,Shirt,Mid Range ($50-$200),148.45,4.55,0.7487485036253929,87.5,8,3
P001625,Harbor,Shirt,Mid Range ($50-$200),146.81,4.7,0.4272997719900949,71.42857142857143,7,3
P001303,GreenLeaf,Sweater,Mid Range ($50-$200),54.36,4.34,0.3327762285868327,66.66666666666666,3,2
P001347,Astra,Hoodie,Mid Range ($50-$200),94.95,3.24,0.6657204230626425,83.33333333333334,6,5
P001782,Zenith,Hoodie,Mid Range ($50-$200),66.11,4.0,-0.0005118310451507569,50.0,10,5
P001283,Orion,Dress,Mid Range ($50-$200),187.33,3.04,0.9979508817195892,100.0,10,3
P000825,Harbor,Jacket,Budget ($0-$50),23.92,4.35,0.9990359544754028,100.0,13,0
P000142,Zenith,Jacket,Premium ($200-$500),205.73,4.65,0.9992372989654541,100.0,3,0
P001164,GreenLeaf,Shorts,Budget ($0-$50),18.65,3.46,0.46587585608164467,73.33333333333333,15,1
P001055,Harbor,Shorts,Mid Range ($50-$200),123.01,4.87,0.44325341449843514,72.22222222222221,18,1
P000320,Zenith,Skirt,Budget ($0-$50),47.88,2.64,0.2724768952889876,63.63636363636363,11,1
P001046,Zenith,Jeans,Mid Range ($50-$200),157.61,3.31,0.5550151003731622,77.77777777777779,9,4
P000643,Willow,Shirt,Mid Range ($50-$200),105.35,4.41,0.27196126634424383,63.63636363636363,11,3
P001185,Harbor,Skirt,Budget ($0-$50),21.74,3.28,0.5996674299240112,80.0,5,1
P000641,Everest,Hoodie,Mid Range ($50-$200),86.47,2.58,0.33276118834813434,66.66666666666666,3,5
P001144,GreenLeaf,Hoodie,Mid Range ($50-$200),96.51,3.72,0.8170367641882463,90.9090909090909,11,5
P000944,GreenLeaf,Dress,Budget ($0-$50),20.32,4.3,0.999123195807139,100.0,6,3
P001894,NeoTech,Sweater,Mid Range ($50-$200),51.65,2.56,0.798514473438263,90.0,10,2
P000532,Pulse,Jacket,Budget ($0-$50),21.52,4.71,0.99717977643013,100.0,2,0
P001007,Acme,Dress,Mid Range ($50-$200),182.33,3.84,0.9991295576095581,100.0,5,3
P001643,Acme,Shorts,Mid Range ($50-$200),58.73,3.63,0.42805272340774536,71.42857142857143,7,1
P001087,Solace,Jacket,Premium ($200-$500),220.52,2.58,0.428618209702628,71.42857142857143,7,0
P000008,Everest,Jacket,Budget ($0-$50),33.86,2.93,0.5547274417347379,77.77777777777779,9,0
P001698,GreenLeaf,Jacket,Mid Range ($50-$200),142.7,4.17,0.6654130617777506,83.33333333333334,6,0
P001384,Pulse,Jacket,Budget ($0-$50),15.03,4.77,0.7494166642427444,87.5,8,0
P000464,Orion,Jacket,Budget ($0-$50),44.1,4.33,0.9987643361091614,100.0,5,0
P001519,Harbor,Jeans,Mid Range ($50-$200),130.87,4.32,0.24870292097330093,62.5,8,4
P000634,GreenLeaf,Shirt,Budget ($0-$50),43.85,2.52,0.5989475607872009,80.0,5,3
P001295,Acme,Jeans,Mid Range ($50-$200),80.66,4.68,0.9991454243659973,100.0,5,4
P000778,Astra,T-Shirt,Mid Range ($50-$200),56.05,3.65,0.33289478222529095,66.66666666666666,3,2
P001668,GreenLeaf,T-Shirt,Budget ($0-$50),47.02,2.74,0.9998359382152557,100.0,2,1
P000700,GreenLeaf,Jeans,Mid Range ($50-$200),186.13,2.87,0.5544740756352743,77.77777777777779,9,4
P001127,Everest,Hoodie,Mid Range ($50-$200),150.71,4.12,0.6663124064604441,83.33333333333334,6,5
P000539,Zenith,Jeans,Budget ($0-$50),45.11,3.38,0.00022298097610473633,50.0,4,4
P000068,Acme,Sweater,Budget ($0-$50),46.36,3.76,0.6666105488936106,83.33333333333334,6,2
P001450,Zenith,Shirt,Mid Range ($50-$200),108.38,2.96,0.6645208299160004,83.33333333333334,6,3
P000665,Zenith,T-Shirt,Mid Range ($50-$200),76.18,3.96,0.42683800629207064,71.42857142857143,7,1
P000050,Everest,Shorts,Mid Range ($50-$200),108.18,4.17,0.5546189149220785,77.77777777777779,9,1
P000487,Willow,Skirt,Budget ($0-$50),22.21,3.4,0.14285308974129812,57.14285714285714,7,1
P000361,Harbor,T-Shirt,Mid Range ($50-$200),168.32,2.69,0.14248274905341013,57.14285714285714,7,1
P001829,Harbor,Dress,Budget ($0-$50),36.94,3.88,0.6662485599517822,83.33333333333334,6,3
P000737,Zenith,Tracksuit,Mid Range ($50-$200),92.23,4.32,0.33173655139075386,66.66666666666666,9,1
P000226,Solace,Jacket,Mid Range ($50-$200),118.33,2.8,0.42806622811726164,71.42857142857143,7,0
P000071,Willow,Shirt,Mid Range ($50-$200),138.82,3.76,0.42779578055654255,71.42857142857143,14,3
P001785,Solace,Jeans,Mid Range ($50-$200),90.15,4.11,0.3320049047470093,66.66666666666666,6,4
P000128,Everest,Jeans,Mid Range ($50-$200),55.25,4.74,0.5995977759361267,80.0,5,4
P001660,GreenLeaf,Hoodie,Mid Range ($50-$200),113.12,4.72,0.9966323673725128,100.0,4,5
P001582,Solace,Jeans,Premium ($200-$500),242.11,3.76,0.6648756464322408,83.33333333333334,6,4
P001077,Zenith,T-Shirt,Mid Range ($50-$200),114.4,2.88,0.7139601452010018,85.71428571428571,7,1
P001498,Acme,T-Shirt,Premium ($200-$500),207.25,2.84,0.7138926642281669,85.71428571428571,7,1
P000499,Zenith,Hoodie,Mid Range ($50-$200),115.81,3.31,-0.20010230541229249,40.0,5,5
P000858,Harbor,Sweater,Mid Range ($50-$200),185.03,3.02,0.7482990771532059,87.5,8,2
P000101,Willow,Jacket,Budget ($0-$50),32.69,2.69,0.6654121180375417,83.33333333333334,12,0
P000606,Everest,Dress,Mid Range ($50-$200),138.24,4.74,0.9989198669791222,100.0,8,3
P001539,Willow,Shirt,Mid Range ($50-$200),103.59,2.58,0.4986437037587166,75.0,8,3
P000618,Harbor,T-Shirt,Mid Range ($50-$200),182.11,3.1,0.24965883791446686,62.5,8,1
P001526,Orion,Shirt,Mid Range ($50-$200),117.09,4.36,-0.42829073326928274,28.57142857142857,7,3
P000132,Willow,Hoodie,Mid Range ($50-$200),135.87,2.56,0.19978324174880982,60.0,5,5
P001043,NeoTech,Jeans,Budget ($0-$50),28.05,4.84,0.6000146269798279,80.0,5,4
P001350,Harbor,Jacket,Mid Range ($50-$200),75.16,3.55,0.666306604941686,83.33333333333334,6,0
P000478,Zenith,Skirt,Mid Range ($50-$200),199.79,2.66,0.4537652785127813,72.72727272727273,11,1
P000207,GreenLeaf,Dress,Premium ($200-$500),227.28,3.4,0.4991525262594223,75.0,8,3
P001536,Nimbus,Jacket,Budget ($0-$50),37.11,3.92,0.33276118834813434,66.66666666666666,3,0
P000734,Acme,Jeans,Mid Range ($50-$200),86.34,4.58,0.4988194853067398,75.0,8,4
P001221,NeoTech,Shirt,Mid Range ($50-$200),79.93,4.51,0.49927037209272385,75.0,8,3
P000043,Acme,Sweater,Mid Range ($50-$200),148.55,3.66,0.33350737889607746,66.66666666666666,3,2
P000802,Orion,Sweater,Mid Range ($50-$200),173.34,3.74,0.666290948788325,83.33333333333334,6,2
P000652,Pulse,T-Shirt,Mid Range ($50-$200),76.67,3.2,0.9980631828308105,100.0,5,1
P000336,Acme,T-Shirt,Mid Range ($50-$200),121.89,4.21,0.4999832808971405,75.0,8,1
P000503,Harbor,Shirt,Mid Range ($50-$200),90.57,4.4,0.6654206415017446,83.33333333333334,6,3
P000996,Harbor,T-Shirt,Mid Range ($50-$200),54.74,4.64,0.16565772394339243,58.333333333333336,12,1
P000774,Harbor,Sweater,Budget ($0-$50),20.4,4.69,0.24893541634082794,62.5,8,2
P000119,Pulse,Dress,Premium ($200-$500),265.21,4.77,0.33349106709162396,66.66666666666666,3,3
P001242,Astra,T-Shirt,Mid Range ($50-$200),99.47,3.84,0.9974815249443054,100.0,3,2
P000511,Nimbus,Jeans,Budget ($0-$50),34.13,2.6,0.00020791590213775635,50.0,4,4
P000712,GreenLeaf,Jacket,Mid Range ($50-$200),97.46,4.56,0.9991037050882975,100.0,3,0
