product_id,brand,product_type,price_range,item_price,product_rating,average_sentiment_score,positive_review_percentage,total_reviews,cluster,rag_document
P000991,Everest,Skirt,Budget ($0-$50),19.08,4.39,0.5540835658709208,77.77777777777779,9,1,"
Product ID: P000991

Brand: Everest

Product Type: Skirt

Price Range: Budget ($0-$50)

Price: $19.08

Product Rating: 4.39

Average Customer Sentiment Score:
0.5540835658709208

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
1
"
P000310,Orion,Sweater,Mid Range ($50-$200),67.11,3.06,0.7126729743821281,85.71428571428571,7,2,"
Product ID: P000310

Brand: Orion

Product Type: Sweater

Price Range: Mid Range ($50-$200)

Price: $67.11

Product Rating: 3.06

Average Customer Sentiment Score:
0.7126729743821281

Positive Review Percentage:
85.71428571428571%

Total Customer Reviews:
7

Product Cluster:
2
"
P001639,Everest,Shirt,Premium ($200-$500),253.6,3.94,-0.0001141130924224,50.0,12,3,"
Product ID: P001639

Brand: Everest

Product Type: Shirt

Price Range: Premium ($200-$500)

Price: $253.6

Product Rating: 3.94

Average Customer Sentiment Score:
-0.0001141130924224

Positive Review Percentage:
50.0%

Total Customer Reviews:
12

Product Cluster:
3
"
P000748,Willow,T-Shirt,Mid Range ($50-$200),128.37,2.86,0.3322356144587199,66.66666666666666,6,1,"
Product ID: P000748

Brand: Willow

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $128.37

Product Rating: 2.86

Average Customer Sentiment Score:
0.3322356144587199

Positive Review Percentage:
66.66666666666666%

Total Customer Reviews:
6

Product Cluster:
1
"
P000967,Astra,T-Shirt,Mid Range ($50-$200),106.52,3.3,0.4998095706105232,75.0,8,2,"
Product ID: P000967

Brand: Astra

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $106.52

Product Rating: 3.3

Average Customer Sentiment Score:
0.4998095706105232

Positive Review Percentage:
75.0%

Total Customer Reviews:
8

Product Cluster:
2
"
P001601,GreenLeaf,Shirt,Mid Range ($50-$200),93.07,4.61,0.427864704813276,71.42857142857143,7,3,"
Product ID: P001601

Brand: GreenLeaf

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $93.07

Product Rating: 4.61

Average Customer Sentiment Score:
0.427864704813276

Positive Review Percentage:
71.42857142857143%

Total Customer Reviews:
7

Product Cluster:
3
"
P000455,NeoTech,Jacket,Mid Range ($50-$200),65.06,4.45,0.6663092076778412,83.33333333333334,6,0,"
Product ID: P000455

Brand: NeoTech

Product Type: Jacket

Price Range: Mid Range ($50-$200)

Price: $65.06

Product Rating: 4.45

Average Customer Sentiment Score:
0.6663092076778412

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
0
"
P001871,GreenLeaf,Jeans,Mid Range ($50-$200),118.36,2.75,0.3331444064776103,66.66666666666666,6,4,"
Product ID: P001871

Brand: GreenLeaf

Product Type: Jeans

Price Range: Mid Range ($50-$200)

Price: $118.36

Product Rating: 2.75

Average Customer Sentiment Score:
0.3331444064776103

Positive Review Percentage:
66.66666666666666%

Total Customer Reviews:
6

Product Cluster:
4
"
P000864,NeoTech,Shirt,Mid Range ($50-$200),168.44,3.48,0.5992393910884857,80.0,10,3,"
Product ID: P000864

Brand: NeoTech

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $168.44

Product Rating: 3.48

Average Customer Sentiment Score:
0.5992393910884857

Positive Review Percentage:
80.0%

Total Customer Reviews:
10

Product Cluster:
3
"
P000775,Everest,Hoodie,Mid Range ($50-$200),69.1,3.82,0.5544334120220609,77.77777777777779,9,5,"
Product ID: P000775

Brand: Everest

Product Type: Hoodie

Price Range: Mid Range ($50-$200)

Price: $69.1

Product Rating: 3.82

Average Customer Sentiment Score:
0.5544334120220609

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
5
"
P001290,Solace,T-Shirt,Mid Range ($50-$200),108.57,4.07,0.3989358961582184,70.0,10,1,"
Product ID: P001290

Brand: Solace

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $108.57

Product Rating: 4.07

Average Customer Sentiment Score:
0.3989358961582184

Positive Review Percentage:
70.0%

Total Customer Reviews:
10

Product Cluster:
1
"
P001430,Astra,Jeans,Budget ($0-$50),41.44,3.29,0.1982027888298034,60.0,10,4,"
Product ID: P001430

Brand: Astra

Product Type: Jeans

Price Range: Budget ($0-$50)

Price: $41.44

Product Rating: 3.29

Average Customer Sentiment Score:
0.1982027888298034

Positive Review Percentage:
60.0%

Total Customer Reviews:
10

Product Cluster:
4
"
P000059,Orion,Dress,Mid Range ($50-$200),176.48,3.98,0.7481854408979416,87.5,8,3,"
Product ID: P000059

Brand: Orion

Product Type: Dress

Price Range: Mid Range ($50-$200)

Price: $176.48

Product Rating: 3.98

Average Customer Sentiment Score:
0.7481854408979416

Positive Review Percentage:
87.5%

Total Customer Reviews:
8

Product Cluster:
3
"
P000826,Acme,T-Shirt,Budget ($0-$50),26.79,4.38,0.5989521622657776,80.0,5,1,"
Product ID: P000826

Brand: Acme

Product Type: T-Shirt

Price Range: Budget ($0-$50)

Price: $26.79

Product Rating: 4.38

Average Customer Sentiment Score:
0.5989521622657776

Positive Review Percentage:
80.0%

Total Customer Reviews:
5

Product Cluster:
1
"
P000542,Everest,Jacket,Budget ($0-$50),36.54,3.77,0.5377371173638564,76.92307692307693,13,0,"
Product ID: P000542

Brand: Everest

Product Type: Jacket

Price Range: Budget ($0-$50)

Price: $36.54

Product Rating: 3.77

Average Customer Sentiment Score:
0.5377371173638564

Positive Review Percentage:
76.92307692307693%

Total Customer Reviews:
13

Product Cluster:
0
"
P000113,Harbor,Jacket,Budget ($0-$50),22.55,4.39,0.5535397926966349,77.77777777777779,9,0,"
Product ID: P000113

Brand: Harbor

Product Type: Jacket

Price Range: Budget ($0-$50)

Price: $22.55

Product Rating: 4.39

Average Customer Sentiment Score:
0.5535397926966349

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
0
"
P000032,Orion,T-Shirt,Premium ($200-$500),265.99,3.75,0.5544438494576348,77.77777777777779,9,1,"
Product ID: P000032

Brand: Orion

Product Type: T-Shirt

Price Range: Premium ($200-$500)

Price: $265.99

Product Rating: 3.75

Average Customer Sentiment Score:
0.5544438494576348

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
1
"
P001424,GreenLeaf,T-Shirt,Mid Range ($50-$200),85.29,4.72,0.8317337334156036,91.66666666666666,12,1,"
Product ID: P001424

Brand: GreenLeaf

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $85.29

Product Rating: 4.72

Average Customer Sentiment Score:
0.8317337334156036

Positive Review Percentage:
91.66666666666666%

Total Customer Reviews:
12

Product Cluster:
1
"
P000111,GreenLeaf,Skirt,Mid Range ($50-$200),55.21,3.86,0.7989197492599487,90.0,10,1,"
Product ID: P000111

Brand: GreenLeaf

Product Type: Skirt

Price Range: Mid Range ($50-$200)

Price: $55.21

Product Rating: 3.86

Average Customer Sentiment Score:
0.7989197492599487

Positive Review Percentage:
90.0%

Total Customer Reviews:
10

Product Cluster:
1
"
P000522,Harbor,Skirt,Budget ($0-$50),17.96,3.17,-0.3341869215170542,33.33333333333333,6,1,"
Product ID: P000522

Brand: Harbor

Product Type: Skirt

Price Range: Budget ($0-$50)

Price: $17.96

Product Rating: 3.17

Average Customer Sentiment Score:
-0.3341869215170542

Positive Review Percentage:
33.33333333333333%

Total Customer Reviews:
6

Product Cluster:
1
"
P000822,Astra,Sweater,Budget ($0-$50),36.08,2.58,0.1997144699096679,60.0,5,2,"
Product ID: P000822

Brand: Astra

Product Type: Sweater

Price Range: Budget ($0-$50)

Price: $36.08

Product Rating: 2.58

Average Customer Sentiment Score:
0.1997144699096679

Positive Review Percentage:
60.0%

Total Customer Reviews:
5

Product Cluster:
2
"
P000123,Solace,Shirt,Premium ($200-$500),244.44,3.38,0.6648624241352081,83.33333333333334,6,3,"
Product ID: P000123

Brand: Solace

Product Type: Shirt

Price Range: Premium ($200-$500)

Price: $244.44

Product Rating: 3.38

Average Customer Sentiment Score:
0.6648624241352081

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
3
"
P001525,Astra,T-Shirt,Mid Range ($50-$200),134.22,3.82,0.3992948472499847,70.0,10,2,"
Product ID: P001525

Brand: Astra

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $134.22

Product Rating: 3.82

Average Customer Sentiment Score:
0.3992948472499847

Positive Review Percentage:
70.0%

Total Customer Reviews:
10

Product Cluster:
2
"
P000562,Willow,Hoodie,Budget ($0-$50),23.79,3.15,0.99985933303833,100.0,4,5,"
Product ID: P000562

Brand: Willow

Product Type: Hoodie

Price Range: Budget ($0-$50)

Price: $23.79

Product Rating: 3.15

Average Customer Sentiment Score:
0.99985933303833

Positive Review Percentage:
100.0%

Total Customer Reviews:
4

Product Cluster:
5
"
P000808,Astra,Jeans,Mid Range ($50-$200),125.02,3.22,0.6654873589674631,83.33333333333334,6,4,"
Product ID: P000808

Brand: Astra

Product Type: Jeans

Price Range: Mid Range ($50-$200)

Price: $125.02

Product Rating: 3.22

Average Customer Sentiment Score:
0.6654873589674631

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
4
"
P000388,GreenLeaf,T-Shirt,Premium ($200-$500),252.09,2.92,0.7750976747936673,88.88888888888889,9,1,"
Product ID: P000388

Brand: GreenLeaf

Product Type: T-Shirt

Price Range: Premium ($200-$500)

Price: $252.09

Product Rating: 2.92

Average Customer Sentiment Score:
0.7750976747936673

Positive Review Percentage:
88.88888888888889%

Total Customer Reviews:
9

Product Cluster:
1
"
P001733,Zenith,Jeans,Mid Range ($50-$200),166.64,3.39,0.4989480450749397,75.0,8,4,"
Product ID: P001733

Brand: Zenith

Product Type: Jeans

Price Range: Mid Range ($50-$200)

Price: $166.64

Product Rating: 3.39

Average Customer Sentiment Score:
0.4989480450749397

Positive Review Percentage:
75.0%

Total Customer Reviews:
8

Product Cluster:
4
"
P000130,NeoTech,T-Shirt,Mid Range ($50-$200),152.63,2.78,0.9981450488169988,100.0,12,1,"
Product ID: P000130

Brand: NeoTech

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $152.63

Product Rating: 2.78

Average Customer Sentiment Score:
0.9981450488169988

Positive Review Percentage:
100.0%

Total Customer Reviews:
12

Product Cluster:
1
"
P000466,Nimbus,Shirt,Mid Range ($50-$200),76.15,2.61,0.9998466798237392,100.0,7,3,"
Product ID: P000466

Brand: Nimbus

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $76.15

Product Rating: 2.61

Average Customer Sentiment Score:
0.9998466798237392

Positive Review Percentage:
100.0%

Total Customer Reviews:
7

Product Cluster:
3
"
P000942,Acme,Hoodie,Mid Range ($50-$200),157.0,4.58,0.9973239501317342,100.0,6,5,"
Product ID: P000942

Brand: Acme

Product Type: Hoodie

Price Range: Mid Range ($50-$200)

Price: $157.0

Product Rating: 4.58

Average Customer Sentiment Score:
0.9973239501317342

Positive Review Percentage:
100.0%

Total Customer Reviews:
6

Product Cluster:
5
"
P001026,Harbor,Shirt,Mid Range ($50-$200),168.25,3.89,0.426271949495588,71.42857142857143,7,3,"
Product ID: P001026

Brand: Harbor

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $168.25

Product Rating: 3.89

Average Customer Sentiment Score:
0.426271949495588

Positive Review Percentage:
71.42857142857143%

Total Customer Reviews:
7

Product Cluster:
3
"
P000195,Willow,Jacket,Mid Range ($50-$200),72.69,3.64,0.4982074946165085,75.0,4,0,"
Product ID: P000195

Brand: Willow

Product Type: Jacket

Price Range: Mid Range ($50-$200)

Price: $72.69

Product Rating: 3.64

Average Customer Sentiment Score:
0.4982074946165085

Positive Review Percentage:
75.0%

Total Customer Reviews:
4

Product Cluster:
0
"
P001787,Willow,Jacket,Mid Range ($50-$200),160.19,4.45,0.1992098271846771,60.0,10,0,"
Product ID: P001787

Brand: Willow

Product Type: Jacket

Price Range: Mid Range ($50-$200)

Price: $160.19

Product Rating: 4.45

Average Customer Sentiment Score:
0.1992098271846771

Positive Review Percentage:
60.0%

Total Customer Reviews:
10

Product Cluster:
0
"
P000605,Zenith,T-Shirt,Mid Range ($50-$200),83.17,4.32,0.5985209465026855,80.0,10,1,"
Product ID: P000605

Brand: Zenith

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $83.17

Product Rating: 4.32

Average Customer Sentiment Score:
0.5985209465026855

Positive Review Percentage:
80.0%

Total Customer Reviews:
10

Product Cluster:
1
"
P000437,GreenLeaf,Skirt,Mid Range ($50-$200),130.95,3.37,0.7129440563065665,85.71428571428571,7,1,"
Product ID: P000437

Brand: GreenLeaf

Product Type: Skirt

Price Range: Mid Range ($50-$200)

Price: $130.95

Product Rating: 3.37

Average Customer Sentiment Score:
0.7129440563065665

Positive Review Percentage:
85.71428571428571%

Total Customer Reviews:
7

Product Cluster:
1
"
P000870,Orion,Dress,Mid Range ($50-$200),132.71,3.32,0.5988079190254212,80.0,10,3,"
Product ID: P000870

Brand: Orion

Product Type: Dress

Price Range: Mid Range ($50-$200)

Price: $132.71

Product Rating: 3.32

Average Customer Sentiment Score:
0.5988079190254212

Positive Review Percentage:
80.0%

Total Customer Reviews:
10

Product Cluster:
3
"
P001326,GreenLeaf,Skirt,Mid Range ($50-$200),61.39,4.0,0.3328893846935696,66.66666666666666,9,1,"
Product ID: P001326

Brand: GreenLeaf

Product Type: Skirt

Price Range: Mid Range ($50-$200)

Price: $61.39

Product Rating: 4.0

Average Customer Sentiment Score:
0.3328893846935696

Positive Review Percentage:
66.66666666666666%

Total Customer Reviews:
9

Product Cluster:
1
"
P000848,Astra,Shorts,Mid Range ($50-$200),97.68,2.66,0.6663010716438293,83.33333333333334,6,2,"
Product ID: P000848

Brand: Astra

Product Type: Shorts

Price Range: Mid Range ($50-$200)

Price: $97.68

Product Rating: 2.66

Average Customer Sentiment Score:
0.6663010716438293

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
2
"
P001810,NeoTech,Shorts,Mid Range ($50-$200),61.15,3.48,0.8169133717363531,90.9090909090909,11,1,"
Product ID: P001810

Brand: NeoTech

Product Type: Shorts

Price Range: Mid Range ($50-$200)

Price: $61.15

Product Rating: 3.48

Average Customer Sentiment Score:
0.8169133717363531

Positive Review Percentage:
90.9090909090909%

Total Customer Reviews:
11

Product Cluster:
1
"
P000110,Zenith,T-Shirt,Mid Range ($50-$200),154.67,2.5,0.6649871269861857,83.33333333333334,6,1,"
Product ID: P000110

Brand: Zenith

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $154.67

Product Rating: 2.5

Average Customer Sentiment Score:
0.6649871269861857

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
1
"
P001997,Zenith,T-Shirt,Mid Range ($50-$200),106.67,2.66,0.6651843190193176,83.33333333333334,6,1,"
Product ID: P001997

Brand: Zenith

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $106.67

Product Rating: 2.66

Average Customer Sentiment Score:
0.6651843190193176

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
1
"
P000726,NeoTech,Shirt,Mid Range ($50-$200),109.92,3.27,0.9983798444271088,100.0,10,3,"
Product ID: P000726

Brand: NeoTech

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $109.92

Product Rating: 3.27

Average Customer Sentiment Score:
0.9983798444271088

Positive Review Percentage:
100.0%

Total Customer Reviews:
10

Product Cluster:
3
"
P001619,Everest,Jeans,Budget ($0-$50),15.52,4.2,0.6653501788775126,83.33333333333334,6,4,"
Product ID: P001619

Brand: Everest

Product Type: Jeans

Price Range: Budget ($0-$50)

Price: $15.52

Product Rating: 4.2

Average Customer Sentiment Score:
0.6653501788775126

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
4
"
P001696,Astra,Shirt,Premium ($200-$500),313.72,3.15,-0.0006432235240936,50.0,6,3,"
Product ID: P001696

Brand: Astra

Product Type: Shirt

Price Range: Premium ($200-$500)

Price: $313.72

Product Rating: 3.15

Average Customer Sentiment Score:
-0.0006432235240936

Positive Review Percentage:
50.0%

Total Customer Reviews:
6

Product Cluster:
3
"
P001212,Harbor,Jeans,Budget ($0-$50),49.21,2.51,0.9990549087524414,100.0,9,4,"
Product ID: P001212

Brand: Harbor

Product Type: Jeans

Price Range: Budget ($0-$50)

Price: $49.21

Product Rating: 2.51

Average Customer Sentiment Score:
0.9990549087524414

Positive Review Percentage:
100.0%

Total Customer Reviews:
9

Product Cluster:
4
"
P000729,Orion,Jacket,Budget ($0-$50),49.66,3.89,0.249820314347744,62.5,8,0,"
Product ID: P000729

Brand: Orion

Product Type: Jacket

Price Range: Budget ($0-$50)

Price: $49.66

Product Rating: 3.89

Average Customer Sentiment Score:
0.249820314347744

Positive Review Percentage:
62.5%

Total Customer Reviews:
8

Product Cluster:
0
"
P001800,Astra,T-Shirt,Mid Range ($50-$200),113.98,4.7,0.9994130492210388,100.0,5,2,"
Product ID: P001800

Brand: Astra

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $113.98

Product Rating: 4.7

Average Customer Sentiment Score:
0.9994130492210388

Positive Review Percentage:
100.0%

Total Customer Reviews:
5

Product Cluster:
2
"
P000762,Everest,Sweater,Mid Range ($50-$200),185.46,3.87,0.6455740893588346,82.35294117647058,17,2,"
Product ID: P000762

Brand: Everest

Product Type: Sweater

Price Range: Mid Range ($50-$200)

Price: $185.46

Product Rating: 3.87

Average Customer Sentiment Score:
0.6455740893588346

Positive Review Percentage:
82.35294117647058%

Total Customer Reviews:
17

Product Cluster:
2
"
P001386,NeoTech,T-Shirt,Mid Range ($50-$200),181.88,2.89,0.8173051693222739,90.9090909090909,11,1,"
Product ID: P001386

Brand: NeoTech

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $181.88

Product Rating: 2.89

Average Customer Sentiment Score:
0.8173051693222739

Positive Review Percentage:
90.9090909090909%

Total Customer Reviews:
11

Product Cluster:
1
"
P001594,Pulse,Tracksuit,Mid Range ($50-$200),83.76,4.16,0.6659324467182159,83.33333333333334,6,1,"
Product ID: P001594

Brand: Pulse

Product Type: Tracksuit

Price Range: Mid Range ($50-$200)

Price: $83.76

Product Rating: 4.16

Average Customer Sentiment Score:
0.6659324467182159

Positive Review Percentage:
83.33333333333334%

Total Customer Reviews:
6

Product Cluster:
1
"
P000722,NeoTech,Dress,Mid Range ($50-$200),104.02,4.57,0.0002106204628944,50.0,8,3,"
Product ID: P000722

Brand: NeoTech

Product Type: Dress

Price Range: Mid Range ($50-$200)

Price: $104.02

Product Rating: 4.57

Average Customer Sentiment Score:
0.0002106204628944

Positive Review Percentage:
50.0%

Total Customer Reviews:
8

Product Cluster:
3
"
P001287,Harbor,T-Shirt,Mid Range ($50-$200),126.29,3.7,0.1987177491188049,60.0,5,1,"
Product ID: P001287

Brand: Harbor

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $126.29

Product Rating: 3.7

Average Customer Sentiment Score:
0.1987177491188049

Positive Review Percentage:
60.0%

Total Customer Reviews:
5

Product Cluster:
1
"
P001779,Orion,Sweater,Mid Range ($50-$200),57.54,4.39,0.5549576679865519,77.77777777777779,9,2,"
Product ID: P001779

Brand: Orion

Product Type: Sweater

Price Range: Mid Range ($50-$200)

Price: $57.54

Product Rating: 4.39

Average Customer Sentiment Score:
0.5549576679865519

Positive Review Percentage:
77.77777777777779%

Total Customer Reviews:
9

Product Cluster:
2
"
P001152,Pulse,Dress,Mid Range ($50-$200),79.18,3.69,0.5988856315612793,80.0,5,3,"
Product ID: P001152

Brand: Pulse

Product Type: Dress

Price Range: Mid Range ($50-$200)

Price: $79.18

Product Rating: 3.69

Average Customer Sentiment Score:
0.5988856315612793

Positive Review Percentage:
80.0%

Total Customer Reviews:
5

Product Cluster:
3
"
P001495,Acme,Dress,Premium ($200-$500),262.79,4.3,0.7134065287453788,85.71428571428571,7,3,"
Product ID: P001495

Brand: Acme

Product Type: Dress

Price Range: Premium ($200-$500)

Price: $262.79

Product Rating: 4.3

Average Customer Sentiment Score:
0.7134065287453788

Positive Review Percentage:
85.71428571428571%

Total Customer Reviews:
7

Product Cluster:
3
"
P001420,NeoTech,T-Shirt,Mid Range ($50-$200),114.66,2.61,0.3997937977313995,70.0,10,1,"
Product ID: P001420

Brand: NeoTech

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $114.66

Product Rating: 2.61

Average Customer Sentiment Score:
0.3997937977313995

Positive Review Percentage:
70.0%

Total Customer Reviews:
10

Product Cluster:
1
"
P001547,Orion,Jeans,Mid Range ($50-$200),149.44,3.91,0.4539628570730036,72.72727272727273,11,4,"
Product ID: P001547

Brand: Orion

Product Type: Jeans

Price Range: Mid Range ($50-$200)

Price: $149.44

Product Rating: 3.91

Average Customer Sentiment Score:
0.4539628570730036

Positive Review Percentage:
72.72727272727273%

Total Customer Reviews:
11

Product Cluster:
4
"
P001265,Harbor,T-Shirt,Mid Range ($50-$200),59.96,3.91,0.3334217468897502,66.66666666666666,6,1,"
Product ID: P001265

Brand: Harbor

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $59.96

Product Rating: 3.91

Average Customer Sentiment Score:
0.3334217468897502

Positive Review Percentage:
66.66666666666666%

Total Customer Reviews:
6

Product Cluster:
1
"
P001614,Solace,Sweater,Mid Range ($50-$200),97.47,2.92,0.3331927557786305,66.66666666666666,6,2,"
Product ID: P001614

Brand: Solace

Product Type: Sweater

Price Range: Mid Range ($50-$200)

Price: $97.47

Product Rating: 2.92

Average Customer Sentiment Score:
0.3331927557786305

Positive Review Percentage:
66.66666666666666%

Total Customer Reviews:
6

Product Cluster:
2
"
P000776,Pulse,Hoodie,Budget ($0-$50),41.51,3.81,0.7772044539451599,88.88888888888889,9,5,"
Product ID: P000776

Brand: Pulse

Product Type: Hoodie

Price Range: Budget ($0-$50)

Price: $41.51

Product Rating: 3.81

Average Customer Sentiment Score:
0.7772044539451599

Positive Review Percentage:
88.88888888888889%

Total Customer Reviews:
9

Product Cluster:
5
"
P001558,Everest,Shirt,Mid Range ($50-$200),142.38,2.78,0.1427402666636875,57.14285714285714,7,3,"
Product ID: P001558

Brand: Everest

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $142.38

Product Rating: 2.78

Average Customer Sentiment Score:
0.1427402666636875

Positive Review Percentage:
57.14285714285714%

Total Customer Reviews:
7

Product Cluster:
3
"
P000535,Willow,T-Shirt,Mid Range ($50-$200),62.96,4.14,0.4278041635240827,71.42857142857143,7,1,"
Product ID: P000535

Brand: Willow

Product Type: T-Shirt

Price Range: Mid Range ($50-$200)

Price: $62.96

Product Rating: 4.14

Average Customer Sentiment Score:
0.4278041635240827

Positive Review Percentage:
71.42857142857143%

Total Customer Reviews:
7

Product Cluster:
1
"
P000850,GreenLeaf,Shirt,Mid Range ($50-$200),60.83,4.88,0.712986273424966,85.71428571428571,7,3,"
Product ID: P000850

Brand: GreenLeaf

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $60.83

Product Rating: 4.88

Average Customer Sentiment Score:
0.712986273424966

Positive Review Percentage:
85.71428571428571%

Total Customer Reviews:
7

Product Cluster:
3
"
P001820,NeoTech,Shirt,Mid Range ($50-$200),90.19,3.49,0.7485329061746597,87.5,8,3,"
Product ID: P001820

Brand: NeoTech

Product Type: Shirt

Price Range: Mid Range ($50-$200)

Price: $90.19

Product Rating: 3.49

Average Customer Sentiment Score:
0.7485329061746597

Positive Review Percentage:
87.5%

Total Customer Reviews:
8

Product Cluster:
3
"
